stn_name,rain_code,rain_days_num,rain_max_code,rain_max_val,rain_ttl,year,month
REGAVIM                                           ,0,14,0,64.1,166.3,2016,1
KEFAR HAROE                                       ,0,13,5,21.0,96.8,2016,1
ENAT                                              ,0,12,5,21.3,114.6,2016,1
NES ZIYYONA                                       ,0,10,5,16.5,96.0,2016,1
NIZZAN                                            ,0,11,0,18.8,73.1,2016,1
NAHAL OZ                                          ,0,12,0,54.5,181.6,2016,1
BE'ERI                                            ,0,13,0,38.7,189.9,2016,1
KISSUFIM                                          ,0,11,0,51.0,177.5,2016,1
NIRIM                                             ,0,12,0,64.4,187.3,2016,1
HAMADYA                                           ,0,10,0,25.4,86.1,2016,1
NE'OT SMADAR                                      ,0,3,0,0.4,0.8,2016,1
MASSADA                                           ,0,10,0,51.4,106.8,2016,1
NEWE UR                                           ,0,11,0,31.0,91.0,2016,1
SEDE ELIYYAHU                                     ,0,14,0,15.4,54.3,2016,1
HAZEVA                                            ,0,2,0,0.2,0.3,2016,1
PARAN                                             ,0,0,0,0.0,0.0,2016,1
YOTVATA                                           ,0,2,0,0.2,0.3,2016,1
NEWE ATIV                                         ,0,12,0,33.8,212.6,2016,1
YONATAN                                           ,0,14,0,59.5,159.0,2016,1
AVNE ETAN                                         ,0,13,0,42.5,106.8,2016,1
MEROM GOLAN PICMAN                                ,0,14,0,33.6,170.2,2016,1
REGAVIM                                           ,0,7,0,39.7,79.7,2016,2
KEFAR HAROE                                       ,0,7,5,27.3,60.0,2016,2
ENAT                                              ,0,6,0,41.5,97.5,2016,2
NES ZIYYONA                                       ,0,6,0,35.0,108.5,2016,2
NIZZAN                                            ,0,7,0,45.5,109.7,2016,2
NAHAL OZ                                          ,0,7,0,68.5,114.4,2016,2
BE'ERI                                            ,0,7,0,51.9,90.5,2016,2
KISSUFIM                                          ,0,5,0,53.0,122.0,2016,2
NIRIM                                             ,0,6,0,47.1,79.1,2016,2
HAMADYA                                           ,0,5,0,15.5,46.3,2016,2
NE'OT SMADAR                                      ,0,2,0,0.4,0.6,2016,2
MASSADA                                           ,0,5,0,26.8,59.3,2016,2
NEWE UR                                           ,0,5,0,21.5,49.5,2016,2
SEDE ELIYYAHU                                     ,0,6,0,12.1,43.9,2016,2
HAZEVA                                            ,0,5,0,0.7,1.3,2016,2
PARAN                                             ,0,1,0,0.8,0.8,2016,2
YOTVATA                                           ,0,1,0,1.5,1.5,2016,2
NEWE ATIV                                         ,0,7,0,55.3,141.3,2016,2
YONATAN                                           ,0,6,5,70.0,110.4,2016,2
AVNE ETAN                                         ,0,5,0,29.3,58.5,2016,2
MEROM GOLAN PICMAN                                ,0,8,0,59.7,126.8,2016,2
REGAVIM                                           ,0,10,0,11.4,31.1,2016,3
KEFAR HAROE                                       ,0,8,5,9.0,29.6,2016,3
ENAT                                              ,0,9,0,15.0,31.1,2016,3
NES ZIYYONA                                       ,8,7,0,4.0,10.9,2016,3
NIZZAN                                            ,0,9,0,13.8,19.6,2016,3
NAHAL OZ                                          ,0,6,0,18.8,41.6,2016,3
BE'ERI                                            ,0,8,0,9.2,21.4,2016,3
KISSUFIM                                          ,0,8,5,6.8,17.8,2016,3
NIRIM                                             ,0,8,5,5.6,13.4,2016,3
HAMADYA                                           ,0,7,0,2.7,8.7,2016,3
NE'OT SMADAR                                      ,0,3,0,19.7,21.5,2016,3
MASSADA                                           ,8,10,7,10.2,23.1,2016,3
NEWE UR                                           ,0,6,5,7.5,15.5,2016,3
SEDE ELIYYAHU                                     ,0,5,0,5.2,12.4,2016,3
HAZEVA                                            ,0,4,0,14.6,16.9,2016,3
