Avocado A,Avocado B,Banana A,Banana B,Carrot A,Carrot B,Cucumber A,Cucumber B,Date,Green Apple A,Green Apple B,Green Cabbage A,Green Cabbage B,Lemon A,Lemon B,Letture A,Letture B,Onion A,Onion B,Pear A,Pear B,Pomegranate A,Pomegranate B,Red Apple A,Red Apple B,Red Cabbage A,Red Cabbage B,Red Pepper A,Red Pepper B,Sweet-Potato A,Sweet-Potato B,Tomatoe A,Tomatoe B,Yellow Pepper A,Yellow Pepper B
7.60,8.10,2.90,,2.70,,4.60,5.1,03.01.2016,,7.00,4.7,5.0,4.30,,3.00,,3.40,,8.70,9.00,3.00,4.40,,4.50,6.00,6.1,8.00,8.10,2.70,,9.10,10.10,6.40,7.50
7.50,10.70,2.90,,2.70,,4.10,4.4,04.01.2016,,7.50,5.0,5.2,4.20,,2.80,,2.80,,9.00,9.40,4.00,4.10,,,6.00,6.5,8.20,8.80,2.00,,,9.90,6.90,7.30
8.80,9.60,2.90,,2.60,,3.20,4.4,05.01.2016,,7.00,5.0,5.1,3.90,,2.90,,2.90,,8.90,9.00,2.80,4.40,,4.50,5.90,6.2,6.60,7.90,2.40,,10.00,10.20,7.30,7.50
8.80,10.10,2.80,,2.90,,3.50,4.0,06.01.2016,5.30,6.80,4.4,4.6,4.10,,3.00,,3.00,,8.00,9.90,3.20,3.90,,5.00,5.50,5.7,7.00,7.60,2.10,,8.00,8.40,7.00,7.10
9.10,10.80,2.80,,2.80,,3.50,4.9,07.01.2016,,7.30,4.4,4.5,4.30,,2.50,,3.30,,7.60,9.60,2.80,4.10,,4.50,5.40,5.4,4.90,7.70,2.60,,7.70,8.00,6.00,6.90
8.00,10.30,3.10,,2.70,,4.40,5.3,10.01.2016,,6.00,4.3,4.8,4.30,,2.60,,3.20,,9.10,10.00,2.50,4.20,,,5.50,5.7,6.80,7.30,2.40,,7.50,7.50,7.00,7.10
10.00,11.40,3.20,,2.90,,4.20,4.7,11.01.2016,,,3.9,4.2,4.20,,2.10,,3.10,,6.00,9.00,3.30,4.60,,4.50,5.30,5.4,6.80,6.80,2.60,,6.70,7.10,6.20,6.90
8.90,10.00,3.30,,2.70,,3.50,4.1,12.01.2016,,7.00,3.6,3.7,4.00,,2.00,,3.00,,9.00,10.00,3.00,4.40,,4.70,5.00,5.5,4.80,6.10,2.50,,6.40,6.80,5.70,6.90
6.90,9.80,3.70,,2.80,,3.80,4.1,13.01.2016,,7.00,3.0,3.3,4.10,,2.20,,3.30,,9.60,9.60,3.00,4.60,4.50,4.50,5.00,5.1,5.70,7.60,2.60,,6.20,6.50,5.30,7.00
,9.40,4.20,,2.50,,3.10,,14.01.2016,6.10,7.00,3.2,,4.10,,2.00,,3.00,,9.00,9.10,2.80,4.20,,5.10,5.00,,4.30,6.70,2.60,,5.50,5.60,4.70,6.10
9.30,10.00,4.60,,2.70,,3.30,,17.01.2016,6.40,7.00,3.2,,4.50,,2.30,,2.70,,9.00,9.70,3.00,5.00,,5.20,4.60,,5.20,6.90,2.60,,4.20,4.80,4.70,6.50
,11.00,4.70,,2.50,,2.80,,18.01.2016,6.80,7.00,2.7,,4.20,,1.90,,2.80,,9.00,9.60,2.50,4.60,,,4.20,,4.20,6.40,2.80,,4.10,4.20,4.40,7.00
8.50,13.10,4.70,,2.40,,3.70,,19.01.2016,,7.00,3.0,,4.20,,2.10,,3.00,,7.90,7.90,3.00,4.80,,,4.20,,5.50,6.40,2.60,,3.40,4.20,5.00,6.50
8.00,13.00,4.60,,2.40,,4.00,,20.01.2016,6.50,7.40,2.6,,4.30,,1.60,,3.10,,7.20,9.30,3.00,4.10,4.50,4.70,3.70,,5.00,7.60,2.40,,,4.00,5.00,7.30
9.00,14.00,4.70,,2.40,,4.00,,21.01.2016,,6.90,2.7,,4.50,,2.30,,2.90,,6.90,9.20,2.50,4.60,,4.50,3.60,,4.20,6.90,2.90,,3.70,4.20,4.50,6.80
9.70,10.80,4.70,,2.50,,4.60,,24.01.2016,,7.40,2.9,,4.40,,1.90,,2.90,,8.50,9.00,3.90,4.40,,,3.80,,5.80,7.70,2.50,,4.00,4.90,5.50,6.90
,11.00,4.80,,2.40,,4.50,,25.01.2016,4.00,7.00,2.9,,4.30,,2.00,,2.80,,6.70,9.60,2.50,4.70,3.20,4.50,3.50,,5.40,7.60,2.50,,,4.90,4.80,7.40
,11.40,4.90,,2.40,,4.70,,26.01.2016,,6.40,3.2,,4.20,,2.10,,2.80,,6.80,9.50,,4.70,4.50,4.50,4.00,,5.80,7.20,2.80,,4.20,5.40,5.90,6.80
,12.00,5.60,,2.40,,4.80,,01.02.2016,,7.40,2.4,,4.10,,2.20,,2.80,,,10.00,2.50,4.50,,,3.00,,5.20,7.20,2.60,,,3.60,5.10,6.90
,,5.30,,2.20,,5.60,,02.02.2016,4.00,6.00,2.3,,4.40,,2.00,,2.80,,8.00,9.20,,4.20,3.20,4.50,3.50,,5.00,6.70,2.60,,3.50,3.80,4.90,6.20
,,5.50,,2.30,,5.60,,03.02.2016,,7.30,1.8,,4.50,,1.70,,2.90,,,8.90,4.00,4.40,,4.70,3.30,,5.40,7.20,2.60,,3.30,3.90,4.80,7.10
,,5.30,,2.90,,5.40,,04.02.2016,4.00,6.30,1.7,,4.30,,2.10,,3.20,,4.70,9.60,3.00,4.60,3.20,4.50,3.10,,4.90,7.50,2.50,,,4.60,3.50,7.30
,,5.40,,2.40,,4.70,,07.02.2016,,6.30,1.7,,4.90,,2.30,,3.60,,6.90,9.10,3.50,4.20,,5.00,3.20,,8.00,8.00,2.60,,,5.10,4.90,8.10
,,5.30,,2.30,,4.30,,08.02.2016,4.00,6.00,2.2,,5.10,,2.00,,4.50,,5.40,9.60,2.50,4.80,3.20,4.50,3.20,,4.40,8.10,2.60,,3.50,4.80,4.20,8.10
,,5.10,,2.30,,4.00,,09.02.2016,,6.60,1.9,,4.90,,2.00,,4.50,,5.80,9.40,3.00,4.40,,5.00,3.00,,6.00,7.70,2.60,,3.90,4.40,6.50,7.00
,14.00,5.30,,2.30,,3.60,,10.02.2016,3.70,6.20,2.6,,4.90,,1.80,,4.40,,5.40,8.50,3.00,4.80,3.20,4.50,3.40,,7.00,7.90,2.60,,3.80,4.10,5.80,8.00
,14.00,5.20,,2.40,,4.20,,14.02.2016,4.00,5.70,2.0,,4.70,,1.40,,4.50,,8.00,8.20,3.70,5.10,3.20,4.50,3.40,,6.60,8.90,2.80,,3.90,4.10,5.00,9.30
