Date,Avocado A,Avocado B,Banana A,Banana B,Carrot A,Carrot B,Cucumber A,Cucumber B,Green Apple A,Green Apple B,Green Cabbage A,Green Cabbage B,Lemon A,Lemon B,Letture A,Letture B,Onion A,Onion B,Pear A,Pear B,Pomegranate A,Pomegranate B,Red Apple A,Red Apple B,Red Cabbage A,Red Cabbage B,Red Pepper A,Red Pepper B,Sweet-Potato A,Sweet-Potato B,Tomatoe A,Tomatoe B,Yellow Pepper A,Yellow Pepper B
03.01.2016,7.6,8.1,2.9,,2.7,,4.6,5.1,,7.0,4.7,5.0,4.3,,3.0,,3.4,,8.7,9.0,3.0,4.4,,4.5,6.0,6.1,8.0,8.1,2.7,,9.1,10.1,6.4,7.5
04.01.2016,7.5,10.7,2.9,,2.7,,4.1,4.4,,7.5,5.0,5.2,4.2,,2.8,,2.8,,9.0,9.4,4.0,4.1,,,6.0,6.5,8.2,8.8,2.0,,,9.9,6.9,7.3
05.01.2016,8.8,9.6,2.9,,2.6,,3.2,4.4,,7.0,5.0,5.1,3.9,,2.9,,2.9,,8.9,9.0,2.8,4.4,,4.5,5.9,6.2,6.6,7.9,2.4,,10.0,10.2,7.3,7.5
06.01.2016,8.8,10.1,2.8,,2.9,,3.5,4.0,5.3,6.8,4.4,4.6,4.1,,3.0,,3.0,,8.0,9.9,3.2,3.9,,5.0,5.5,5.7,7.0,7.6,2.1,,8.0,8.4,7.0,7.1
07.01.2016,9.1,10.8,2.8,,2.8,,3.5,4.9,,7.3,4.4,4.5,4.3,,2.5,,3.3,,7.6,9.6,2.8,4.1,,4.5,5.4,5.4,4.9,7.7,2.6,,7.7,8.0,6.0,6.9
10.01.2016,8.0,10.3,3.1,,2.7,,4.4,5.3,,6.0,4.3,4.8,4.3,,2.6,,3.2,,9.1,10.0,2.5,4.2,,,5.5,5.7,6.8,7.3,2.4,,7.5,7.5,7.0,7.1
11.01.2016,10.0,11.4,3.2,,2.9,,4.2,4.7,,,3.9,4.2,4.2,,2.1,,3.1,,6.0,9.0,3.3,4.6,,4.5,5.3,5.4,6.8,6.8,2.6,,6.7,7.1,6.2,6.9
12.01.2016,8.9,10.0,3.3,,2.7,,3.5,4.1,,7.0,3.6,3.7,4.0,,2.0,,3.0,,9.0,10.0,3.0,4.4,,4.7,5.0,5.5,4.8,6.1,2.5,,6.4,6.8,5.7,6.9
13.01.2016,6.9,9.8,3.7,,2.8,,3.8,4.1,,7.0,3.0,3.3,4.1,,2.2,,3.3,,9.6,9.6,3.0,4.6,4.5,4.5,5.0,5.1,5.7,7.6,2.6,,6.2,6.5,5.3,7.0
14.01.2016,,9.4,4.2,,2.5,,3.1,,6.1,7.0,3.2,,4.1,,2.0,,3.0,,9.0,9.1,2.8,4.2,,5.1,5.0,,4.3,6.7,2.6,,5.5,5.6,4.7,6.1
17.01.2016,9.3,10.0,4.6,,2.7,,3.3,,6.4,7.0,3.2,,4.5,,2.3,,2.7,,9.0,9.7,3.0,5.0,,5.2,4.6,,5.2,6.9,2.6,,4.2,4.8,4.7,6.5
18.01.2016,,11.0,4.7,,2.5,,2.8,,6.8,7.0,2.7,,4.2,,1.9,,2.8,,9.0,9.6,2.5,4.6,,,4.2,,4.2,6.4,2.8,,4.1,4.2,4.4,7.0
19.01.2016,8.5,13.1,4.7,,2.4,,3.7,,,7.0,3.0,,4.2,,2.1,,3.0,,7.9,7.9,3.0,4.8,,,4.2,,5.5,6.4,2.6,,3.4,4.2,5.0,6.5
20.01.2016,8.0,13.0,4.6,,2.4,,4.0,,6.5,7.4,2.6,,4.3,,1.6,,3.1,,7.2,9.3,3.0,4.1,4.5,4.7,3.7,,5.0,7.6,2.4,,,4.0,5.0,7.3
21.01.2016,9.0,14.0,4.7,,2.4,,4.0,,,6.9,2.7,,4.5,,2.3,,2.9,,6.9,9.2,2.5,4.6,,4.5,3.6,,4.2,6.9,2.9,,3.7,4.2,4.5,6.8
24.01.2016,9.7,10.8,4.7,,2.5,,4.6,,,7.4,2.9,,4.4,,1.9,,2.9,,8.5,9.0,3.9,4.4,,,3.8,,5.8,7.7,2.5,,4.0,4.9,5.5,6.9
25.01.2016,,11.0,4.8,,2.4,,4.5,,4.0,7.0,2.9,,4.3,,2.0,,2.8,,6.7,9.6,2.5,4.7,3.2,4.5,3.5,,5.4,7.6,2.5,,,4.9,4.8,7.4
26.01.2016,,11.4,4.9,,2.4,,4.7,,,6.4,3.2,,4.2,,2.1,,2.8,,6.8,9.5,,4.7,4.5,4.5,4.0,,5.8,7.2,2.8,,4.2,5.4,5.9,6.8
01.02.2016,,12.0,5.6,,2.4,,4.8,,,7.4,2.4,,4.1,,2.2,,2.8,,,10.0,2.5,4.5,,,3.0,,5.2,7.2,2.6,,,3.6,5.1,6.9
02.02.2016,,,5.3,,2.2,,5.6,,4.0,6.0,2.3,,4.4,,2.0,,2.8,,8.0,9.2,,4.2,3.2,4.5,3.5,,5.0,6.7,2.6,,3.5,3.8,4.9,6.2
03.02.2016,,,5.5,,2.3,,5.6,,,7.3,1.8,,4.5,,1.7,,2.9,,,8.9,4.0,4.4,,4.7,3.3,,5.4,7.2,2.6,,3.3,3.9,4.8,7.1
04.02.2016,,,5.3,,2.9,,5.4,,4.0,6.3,1.7,,4.3,,2.1,,3.2,,4.7,9.6,3.0,4.6,3.2,4.5,3.1,,4.9,7.5,2.5,,,4.6,3.5,7.3
07.02.2016,,,5.4,,2.4,,4.7,,,6.3,1.7,,4.9,,2.3,,3.6,,6.9,9.1,3.5,4.2,,5.0,3.2,,8.0,8.0,2.6,,,5.1,4.9,8.1
08.02.2016,,,5.3,,2.3,,4.3,,4.0,6.0,2.2,,5.1,,2.0,,4.5,,5.4,9.6,2.5,4.8,3.2,4.5,3.2,,4.4,8.1,2.6,,3.5,4.8,4.2,8.1
09.02.2016,,,5.1,,2.3,,4.0,,,6.6,1.9,,4.9,,2.0,,4.5,,5.8,9.4,3.0,4.4,,5.0,3.0,,6.0,7.7,2.6,,3.9,4.4,6.5,7.0
10.02.2016,,14.0,5.3,,2.3,,3.6,,3.7,6.2,2.6,,4.9,,1.8,,4.4,,5.4,8.5,3.0,4.8,3.2,4.5,3.4,,7.0,7.9,2.6,,3.8,4.1,5.8,8.0
