Date,Avocado A,Avocado B,Banana A,Banana B,Carrot A,Carrot B,Cucumber A,Cucumber B,Green Apple A,Green Apple B,Green Cabbage A,Green Cabbage B,Lemon A,Lemon B,Letture A,Letture B,Onion A,Onion B,Pear A,Pear B,Pomegranate A,Pomegranate B,Red Apple A,Red Apple B,Red Cabbage A,Red Cabbage B,Red Pepper A,Red Pepper B,Sweet-Potato A,Sweet-Potato B,Tomatoe A,Tomatoe B,Yellow Pepper A,Yellow Pepper B
03.01.2016,7.6,8.1,2.9,3.12,2.7,3.8600000000000003,4.6,5.1,,7.0,4.7,5.0,4.3,6.2299999999999995,3.0,,3.4,,8.7,9.0,3.0,4.4,,4.5,6.0,6.1,8.0,8.1,2.7,,9.1,10.1,6.4,7.5
04.01.2016,7.5,10.7,2.9,3.12,2.7,3.8600000000000003,4.1,4.4,,7.5,5.0,5.2,4.2,6.13,2.8,,2.8,,9.0,9.4,4.0,4.1,,,6.0,6.5,8.2,8.8,2.0,,,9.9,6.9,7.3
05.01.2016,8.8,9.6,2.9,3.12,2.6,3.76,3.2,4.4,,7.0,5.0,5.1,3.9,5.83,2.9,,2.9,,8.9,9.0,2.8,4.4,,4.5,5.9,6.2,6.6,7.9,2.4,,10.0,10.2,7.3,7.5
06.01.2016,8.8,10.1,2.8,3.02,2.9,4.06,3.5,4.0,5.3,6.8,4.4,4.6,4.1,6.029999999999999,3.0,,3.0,,8.0,9.9,3.2,3.9,,5.0,5.5,5.7,7.0,7.6,2.1,,8.0,8.4,7.0,7.1
07.01.2016,9.1,10.8,2.8,3.02,2.8,3.96,3.5,4.9,,7.3,4.4,4.5,4.3,6.2299999999999995,2.5,,3.3,,7.6,9.6,2.8,4.1,,4.5,5.4,5.4,4.9,7.7,2.6,,7.7,8.0,6.0,6.9
10.01.2016,8.0,10.3,3.1,3.3200000000000003,2.7,3.8600000000000003,4.4,5.3,,6.0,4.3,4.8,4.3,6.2299999999999995,2.6,,3.2,,9.1,10.0,2.5,4.2,,,5.5,5.7,6.8,7.3,2.4,,7.5,7.5,7.0,7.1
11.01.2016,10.0,11.4,3.2,3.4200000000000004,2.9,4.06,4.2,4.7,,,3.9,4.2,4.2,6.13,2.1,,3.1,,6.0,9.0,3.3,4.6,,4.5,5.3,5.4,6.8,6.8,2.6,,6.7,7.1,6.2,6.9
12.01.2016,8.9,10.0,3.3,3.52,2.7,3.8600000000000003,3.5,4.1,,7.0,3.6,3.7,4.0,5.93,2.0,,3.0,,9.0,10.0,3.0,4.4,,4.7,5.0,5.5,4.8,6.1,2.5,,6.4,6.8,5.7,6.9
13.01.2016,6.9,9.8,3.7,3.9200000000000004,2.8,3.96,3.8,4.1,,7.0,3.0,3.3,4.1,6.029999999999999,2.2,,3.3,,9.6,9.6,3.0,4.6,4.5,4.5,5.0,5.1,5.7,7.6,2.6,,6.2,6.5,5.3,7.0
14.01.2016,,9.4,4.2,4.42,2.5,3.66,3.1,2.96,6.1,7.0,3.2,5.470000000000001,4.1,6.029999999999999,2.0,,3.0,,9.0,9.1,2.8,4.2,,5.1,5.0,7.609999999999999,4.3,6.7,2.6,,5.5,5.6,4.7,6.1
17.01.2016,9.3,10.0,4.6,4.819999999999999,2.7,3.8600000000000003,3.3,3.1599999999999997,6.4,7.0,3.2,5.470000000000001,4.5,6.43,2.3,,2.7,,9.0,9.7,3.0,5.0,,5.2,4.6,7.209999999999999,5.2,6.9,2.6,,4.2,4.8,4.7,6.5
18.01.2016,,11.0,4.7,4.92,2.5,3.66,2.8,2.6599999999999997,6.8,7.0,2.7,4.970000000000001,4.2,6.13,1.9,,2.8,,9.0,9.6,2.5,4.6,,,4.2,6.8100000000000005,4.2,6.4,2.8,,4.1,4.2,4.4,7.0
